Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
286.35	6.3610e-05	754.42	0.0013255	-88.316	-88.316	-229.81	302.21	370.56	1328.6	-0.043716	1696.7	0.13814	0.025949	0.00045511	2197.3	-27.951	-25.570	-10.690	261.08	269.40	120.09	22.783	4.1924	0.0079340
286.41	6.3966e-05	754.37	0.0013256	-88.294	-88.294	-229.74	302.25	370.59	1328.4	-0.043711	1694.7	0.13813	0.025944	0.00045756	2185.5	-27.935	-25.554	-10.680	261.13	269.44	120.10	22.762	4.1933	0.0079374
286.47	6.4324e-05	754.33	0.0013257	-88.271	-88.271	-229.66	302.28	370.62	1328.1	-0.043706	1692.6	0.13811	0.025938	0.00046002	2173.8	-27.919	-25.537	-10.669	261.17	269.49	120.11	22.740	4.1943	0.0079409
286.53	6.4683e-05	754.28	0.0013258	-88.249	-88.249	-229.58	302.32	370.65	1327.8	-0.043701	1690.5	0.13810	0.025933	0.00046249	2162.2	-27.903	-25.521	-10.658	261.22	269.53	120.13	22.719	4.1953	0.0079443
286.59	6.5045e-05	754.24	0.0013258	-88.226	-88.226	-229.50	302.35	370.68	1327.6	-0.043695	1688.4	0.13808	0.025928	0.00046498	2150.6	-27.887	-25.505	-10.648	261.26	269.58	120.14	22.697	4.1963	0.0079478
286.65	6.5408e-05	754.19	0.0013259	-88.204	-88.204	-229.42	302.39	370.72	1327.3	-0.043690	1686.4	0.13807	0.025923	0.00046748	2139.1	-27.872	-25.488	-10.637	261.31	269.63	120.15	22.676	4.1972	0.0079512
286.71	6.5774e-05	754.15	0.0013260	-88.181	-88.181	-229.34	302.43	370.75	1327.1	-0.043685	1684.3	0.13805	0.025917	0.00046999	2127.7	-27.856	-25.472	-10.626	261.35	269.67	120.16	22.654	4.1982	0.0079547
286.77	6.6141e-05	754.10	0.0013261	-88.159	-88.159	-229.27	302.46	370.78	1326.8	-0.043680	1682.3	0.13804	0.025912	0.00047251	2116.3	-27.840	-25.456	-10.615	261.40	269.72	120.18	22.633	4.1992	0.0079581
286.84	6.6509e-05	754.06	0.0013262	-88.136	-88.136	-229.19	302.50	370.81	1326.6	-0.043675	1680.2	0.13802	0.025907	0.00047505	2105.1	-27.824	-25.439	-10.604	261.45	269.76	120.19	22.612	4.2002	0.0079615
286.90	6.6880e-05	754.01	0.0013262	-88.114	-88.114	-229.11	302.54	370.84	1326.3	-0.043669	1678.2	0.13801	0.025901	0.00047759	2093.8	-27.808	-25.423	-10.594	261.49	269.81	120.20	22.590	4.2012	0.0079650
286.96	6.7253e-05	753.97	0.0013263	-88.091	-88.091	-229.03	302.57	370.87	1326.1	-0.043664	1676.1	0.13799	0.025896	0.00048015	2082.7	-27.792	-25.406	-10.583	261.54	269.85	120.21	22.569	4.2021	0.0079684
287.02	6.7627e-05	753.92	0.0013264	-88.069	-88.069	-228.95	302.61	370.90	1325.8	-0.043659	1674.1	0.13798	0.025891	0.00048273	2071.6	-27.776	-25.390	-10.572	261.58	269.90	120.23	22.548	4.2031	0.0079719
287.08	6.8004e-05	753.88	0.0013265	-88.046	-88.046	-228.87	302.64	370.93	1325.6	-0.043654	1672.1	0.13796	0.025885	0.00048531	2060.5	-27.760	-25.374	-10.561	261.63	269.94	120.24	22.526	4.2041	0.0079753
287.14	6.8382e-05	753.83	0.0013266	-88.024	-88.024	-228.79	302.68	370.97	1325.3	-0.043648	1670.0	0.13795	0.025880	0.00048791	2049.6	-27.745	-25.357	-10.550	261.67	269.99	120.25	22.505	4.2051	0.0079788
