Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
241.00	12.278	1045.9	0.00095611	4.3695	4.4211	20.649	40.188	83.154	774.86	-0.0050379	undefined	undefined	0.011143	31.747	0.031499	15.849	17.551	75.130	33.438	51.100	220.53	2.0166	undefined	undefined
242.00	12.688	1042.1	0.00095957	4.4510	4.5046	20.988	40.173	83.442	768.40	-0.0043095	undefined	undefined	0.010939	32.805	0.030483	15.858	17.560	74.937	33.587	51.550	220.41	1.9949	undefined	undefined
243.00	13.109	1038.3	0.00096309	4.5327	4.5883	21.326	40.159	83.739	761.92	-0.0035604	undefined	undefined	0.010735	33.892	0.029506	15.866	17.569	74.743	33.737	52.011	220.27	1.9737	undefined	undefined
244.00	13.539	1034.5	0.00096666	4.6147	4.6723	21.663	40.145	84.046	755.44	-0.0027898	undefined	undefined	0.010532	35.008	0.028565	15.875	17.577	74.551	33.887	52.484	220.13	1.9529	undefined	undefined
245.00	13.979	1030.6	0.00097028	4.6969	4.7566	22.000	40.132	84.362	748.95	-0.0019968	undefined	undefined	0.010330	36.154	0.027659	15.883	17.584	74.359	34.037	52.967	219.98	1.9325	undefined	undefined
246.00	14.430	1026.7	0.00097395	4.7793	4.8412	22.337	40.120	84.688	742.45	-0.0011806	undefined	undefined	0.010129	37.332	0.026787	15.890	17.592	74.168	34.188	53.464	219.82	1.9124	undefined	undefined
247.00	14.892	1022.8	0.00097768	4.8620	4.9261	22.673	40.109	85.024	735.93	-0.00034025	undefined	undefined	0.0099282	38.541	0.025947	15.897	17.598	73.977	34.340	53.973	219.65	1.8928	undefined	undefined
248.00	15.364	1018.9	0.00098147	4.9449	5.0113	23.009	40.098	85.371	729.41	0.00052519	undefined	undefined	0.0097286	39.782	0.025137	15.904	17.604	73.787	34.492	54.496	219.46	1.8735	undefined	undefined
249.00	15.847	1014.9	0.00098531	5.0281	5.0968	23.345	40.087	85.730	722.87	0.0014167	undefined	undefined	0.0095297	41.057	0.024356	15.911	17.610	73.597	34.645	55.033	219.27	1.8546	undefined	undefined
250.00	16.341	1010.9	0.00098922	5.1115	5.1826	23.681	40.078	86.100	716.31	0.0023355	undefined	undefined	0.0093318	42.367	0.023603	15.917	17.614	73.408	34.798	55.585	219.07	1.8361	undefined	undefined
251.00	16.846	1006.9	0.00099318	5.1951	5.2688	24.016	40.069	86.483	709.75	0.0032826	undefined	undefined	0.0091347	43.712	0.022877	15.922	17.619	73.219	34.953	56.153	218.85	1.8179	undefined	undefined
252.00	17.363	1002.8	0.00099721	5.2791	5.3553	24.351	40.061	86.879	703.16	0.0042592	undefined	undefined	0.0089384	45.093	0.022176	15.928	17.622	73.030	35.107	56.737	218.62	1.8000	undefined	undefined
253.00	17.891	998.69	0.0010013	5.3633	5.4422	24.685	40.054	87.288	696.57	0.0052666	undefined	undefined	0.0087431	46.511	0.021500	15.933	17.626	72.841	35.263	57.340	218.39	1.7824	undefined	undefined
254.00	18.430	994.55	0.0010055	5.4478	5.5294	25.020	40.047	87.712	689.95	0.0063062	undefined	undefined	0.0085486	47.968	0.020847	15.937	17.628	72.653	35.419	57.960	218.14	1.7652	undefined	undefined
255.00	18.982	990.38	0.0010097	5.5326	5.6170	25.355	40.041	88.150	683.32	0.0073794	undefined	undefined	0.0083550	49.464	0.020217	15.941	17.630	72.464	35.577	58.600	217.88	1.7483	undefined	undefined
256.00	19.545	986.17	0.0010140	5.6177	5.7050	25.689	40.036	88.605	676.67	0.0084877	undefined	undefined	0.0081624	51.001	0.019607	15.944	17.631	72.275	35.735	59.261	217.61	1.7317	undefined	undefined
